"id","dam","sire","Year"
1255261,5079727,6843619,1990
1255262,5078533,9999997,1990
1255264,1141232,5087521,1990
1255265,5079735,NA,1990
1255267,1141234,1145757,1990
1255270,1131685,5078987,1990
1255271,1141236,1146886,1990
1255272,1141557,6843777,1990
1255273,6843542,6843649,1990
1255274,5078514,6843615,1990
1255275,1131640,5078977,1990
1255276,1141208,6843743,1990
1255277,1141586,1405768,1990
1255278,1141224,1146728,1990
1255279,1138062,1141217,1990
1255280,1405771,6843583,1990
1255282,1147756,0,1990
1261936,1254447,1254495,1996
1261937,1141357,1333227,1996
1261938,1254490,1301164,1996
1261939,1141525,1254491,1996
1261940,1141229,5079777,1996
1261941,1301101,1301130,1996
1261942,1318928,1320029,1996
1261943,1141375,1141397,1996
1261944,1254452,1254507,1996
1261945,1254433,1254477,1996
1261946,1131703,1320013,1996
1261947,1318926,6843601,1996
1261948,1318925,1320027,1996
1261949,1318870,1320081,1996
1261950,1139543,1254461,1996
1261951,1141387,1301600,1996
1261952,1138719,1301561,1996
1261953,1141526,1254467,1996
1261954,1254468,1301016,1996
1261955,1147221,1318289,1996
1261956,1131735,1318894,1996
1261957,1141538,1181699,1996
1261958,1254448,1254494,1996
1261959,1301168,1301565,1996
1261960,1141504,1254450,1996
1261961,1318288,1318290,1996
1261962,1301598,1301601,1996
1261963,1301171,1301722,1996
1261964,1301193,1301567,1996
1261965,1131853,1301097,1996
1261966,1131722,1301154,1996
1261967,1301142,1301172,1996
1261968,1301173,1301188,1996
1261969,1318896,1318951,1996
1261970,1301117,1318905,1996
1261971,1145282,1318898,1996
1261972,1301181,1320015,1996
1261973,1131713,1301179,1996
1261974,1139502,1141105,1996
1261975,1131746,1301020,1996
1261976,1301155,1301200,1996
1261977,1141384,1318953,1996
1261978,1318867,1318876,1996
1261979,1318912,1320021,1996
1261980,1141524,NA,1996
1261981,1318903,1318954,1996
1261982,1318904,1318906,1996
1261983,1141120,1145285,1996
1261984,1318910,1320046,1996
1261985,1318907,1320016,1996
1261986,1146000,NA,1996
1261987,1320001,1320091,1996
1261988,1147252,1320072,1996
1261989,1320003,1320071,1996
1261990,1319000,1320070,1996
1261991,1139605,1301685,1996
1261992,1145155,1145281,1996
1261993,1139539,1148096,1996
1261994,1320005,1320092,1996
1261995,1318887,NA,1996
1261996,1139547,1301682,1996
1261997,1320006,1320076,1996
1261998,1254408,1320077,1996
1261999,1320007,NA,1996
1262000,1131855,1181698,1996
1271001,1145172,6807580,1996
1271002,1138119,1318931,1996
1271003,1301665,6841320,1996
1271004,1318932,1320082,1996
1271005,1318930,1320030,1996
1271006,1301688,1320033,1996
1271007,1148632,NA,1996
1271008,1318937,1320034,1996
1271009,1318880,1318939,1996
1271010,1318940,1320035,1996
1271011,1318941,1320036,1996
1271012,1318942,1318963,1996
1271013,1318933,1318960,1996
1271014,1318872,1318879,1996
1271015,1131938,1301681,1996
1271016,1138138,1139654,1996
1271017,1131915,1301692,1996
1271018,1318357,5087855,1996
1271019,1320050,1479454,1996
1271020,1318970,1320053,1996
1271021,1318971,1320084,1996
1271022,1141530,1318968,1996
1271023,1131792,1254405,1996
1271024,1131902,1145083,1996
1271025,1318946,1320051,1996
1271026,1139606,1148571,1996
1271027,1318976,1320085,1996
1271028,1301590,1320059,1996
1271029,1318882,1320043,1996
1271030,1318883,1318973,1996
1271031,1131875,1318972,1996
1271032,1145122,1318983,1996
1271033,1139980,1318982,1996
1271034,1318984,NA,1996
1271035,1318985,1405765,1996
1271036,1318979,1320055,1996
1271037,1318873,1320062,1996
1271038,1318987,NA,1996
1271039,1254407,1320088,1996
1271040,1139982,1301125,1996
1271041,1318981,1320058,1996
1271042,1181821,1320057,1996
1271043,1318992,1320066,1996
1271044,1139538,1301667,1996
1271045,1145251,1318996,1996
1271046,1318995,1320089,1996
1271047,1131750,1147091,1996
1271048,1141139,1301669,1996
1271049,1301100,1301195,1996
1271050,1141236,1146886,1996
1271051,1145250,1301671,1996
1271052,1139595,1254418,1996
1271053,1320009,1320078,1996
1271054,1320011,NA,1996
1271055,1320010,1320093,1996
1271056,1318999,1320069,1996
1271057,1301670,NA,1996
1271058,1139679,NA,1996
1271059,1318998,1320090,1996
1271060,1318997,1320068,1996
1271061,1436692,1436920,1996
1271062,1141566,6843570,1996
1271063,1146887,1146949,1996
1271064,1146911,1405786,1996
1271065,2869635,5078524,1996
1271066,5054034,5087514,1996
1271067,1141568,1141574,1996
1271068,1141225,1147760,1996
1271069,1141242,1141570,1996
1271070,1131676,5079000,1996
1271071,1333570,1405780,1996
1271072,1141555,6843703,1996
1271073,1139722,1141591,1996
1271074,2869669,6843530,1996
1271075,5079705,5079732,1996
1271076,1371803,5087679,1996
1271077,1145776,1318262,1996
1271078,1141581,1146938,1996
1271079,1138987,1146914,1996
1271080,1146913,5087521,1996
1271081,1141948,6843619,1996
1271082,1141556,5092046,1996
1271083,5078504,6843762,1996
1271084,1146977,1318889,1996
1271085,1141593,1147018,1996
1271086,1147948,1318261,1996
1271087,1131630,1147012,1996
1271088,1147006,1148055,1996
1271089,1141234,5078952,1996
1271090,5078951,6843649,1996
1271091,1131640,5078997,1996
1271092,1141224,1146942,1996
1271093,5079721,5092063,1996
1271094,5079798,6843521,1996
1271095,1405771,6843583,1996
1271096,1146929,6843522,1996
1271701,1146887,1146949,1997
1271702,1141566,6843570,1997
1271703,2869635,5078524,1997
1271704,1141210,6808989,1997
1271705,6843505,6843580,1997
1271706,1146931,NA,1997
1271707,1131676,5079000,1997
1271708,1145763,5087671,1997
1271709,1138028,5054030,1997
1271710,1405771,6843583,1997
1271711,1141586,1145761,1997
1271712,1146728,1301565,1997
1271713,2869736,NA,1997
1271714,5078951,6843649,1997
1271715,1138027,5092002,1997
1271716,1145765,5078990,1997
1271717,5092097,6843556,1997
1271718,1141201,6843741,1997
1271719,5079705,5079732,1997
1271720,1141590,5078532,1997
1271721,1141234,1145757,1997
1271722,1145776,1318262,1997
1271723,1146996,5078991,1997
1271724,1141555,6843703,1997
1271725,1138987,1146914,1997
1271726,1146913,5087521,1997
1271727,5079726,5092171,1997
1271728,1141556,5092046,1997
1271729,5078504,6843762,1997
1271730,1141387,1301600,1997
1271731,1301127,1301573,1997
1271733,1301562,1301693,1997
1271734,1254447,1254495,1997
1271735,1141538,1181699,1997
1271736,1254444,1254501,1997
1271737,1301100,1301195,1997
1271738,1301146,1301596,1997
1271740,1318288,1318290,1997
1271741,1301115,1301175,1997
1271742,1145128,1254411,1997
1271743,1318896,1318951,1997
1271744,1131703,1320013,1997
1271745,1301118,1318897,1997
1271746,1301178,1301201,1997
1271747,1131713,1301179,1997
1271749,1131702,1318358,1997
1271750,1139502,1141105,1997
1271751,1318876,1320079,1997
1271752,1139587,1254409,1997
1271753,1139669,1301674,1997
1271754,1271647,1320115,1997
1271755,1141120,1145285,1997
1271756,1139676,1318869,1997
1271757,1318904,1318906,1997
1271759,1254433,1254477,1997
1271760,1254428,1254458,1997
1271762,1271677,1320129,1997
1271763,1141520,1320048,1997
1271764,1145896,1301690,1997
1271765,1138138,1139654,1997
1271766,1131923,6806952,1997
1271767,1131907,1147281,1997
1271768,1148104,1320032,1997
1271769,1318933,1318960,1997
1271770,1148429,1181168,1997
1271771,1318872,1318879,1997
1271772,1131821,1301688,1997
1271773,1131909,1138713,1997
1271774,1301096,1320031,1997
1271776,1320026,1320130,1997
1271777,1318925,1320027,1997
1271778,1301133,1318926,1997
1271779,1145041,1301691,1997
1271780,1141513,1320028,1997
1271781,1139665,1141109,1997
1271782,1131807,1301123,1997
1271783,1318928,1320029,1997
1271784,1131872,1318878,1997
1271785,1318880,1318929,1997
1271786,1139984,1141366,1997
1271788,1318934,1318961,1997
1271789,1148632,1271648,1997
1271790,1148579,1318936,1997
1271791,1318938,1318962,1997
1271792,1318942,1318963,1997
1271794,1320050,1479454,1997
1271795,1141388,1301651,1997
1271796,1318970,1320053,1997
1271797,1318971,1320084,1997
1271798,1141530,1318968,1997
1271800,1318945,1320039,1997
1271801,1131915,1301692,1997
1271802,1301652,1463839,1997
1271803,1318946,1320051,1997
1271804,1131792,1254405,1997
1271805,1145103,1147242,1997
1271806,1318884,1320116,1997
1271808,1131875,1318972,1997
1271809,1145122,1318983,1997
1271810,1318985,1405765,1997
1271811,1145254,1320060,1997
1271812,1131901,1254486,1997
1271813,1320061,1320122,1997
1271814,1320112,1320143,1997
1271815,1138103,1301587,1997
1271817,1318873,1320062,1997
1271818,1254407,1320088,1997
1271819,1271652,1320113,1997
1271820,1318989,1320087,1997
1271821,1318874,1318886,1997
1271822,1254419,1318993,1997
1271823,1131750,1147091,1997
1271824,1318995,1320089,1997
1271825,1139992,1301670,1997
1271826,1318999,1320069,1997
1271828,1145274,1148572,1997
1271829,1271649,1271657,1997
1271830,1145155,1145281,1997
1271841,1139508,1320070,1997
1271842,1131852,1147225,1997
1271843,1320003,NA,1997
1271844,1320002,1320073,1997
1271845,1320005,1320092,1997
1271846,1139539,1148096,1997
1271847,1320012,1320075,1997
1271848,1131916,1148072,1997
1271849,1131855,1181698,1997
1271850,1271646,1320011,1997
1301203,1301124,1479454,1992
1301208,1138138,1181829,1992
1301212,1131807,1301123,1992
1301307,1139973,1301140,1992
1301311,1139651,1254409,1992
1301314,1139595,1254418,1992
1301331,1141224,1146728,1992
1301335,1145710,6843732,1992
1301336,1141586,1405768,1992
1301337,1141568,1141574,1992
1301340,1131602,1141206,1992
1301341,1436692,6843782,1992
1301343,1141240,5092169,1992
1301344,1141234,1145757,1992
1301345,1146888,1146923,1992
